"Datatype property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Example(s) (skos:example)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:recordResourceExtent","Record Resource Extent","mesure de la ressource archivistique","soporte de recurso documental","The quantity of information content, as human experienced, contained in a Record Resource. The method and precision of expressing the quantity of information represented in a Record Resource will vary according to the kind of Record Resource being described, processing economy constraints, etc. For record sets, quantity may be expressed as number of records, or, for analogue records in particular, by the physical storage dimensions of the members of the Record Set. For individual records or record parts, quantity may be expressed in more precise terms.","Use if you don't use RecordResourceExtent class and its properties for handling such information. Record resource extent should not be confused with instantiation extent or carrier extent. The number, size or duration of the information content unit(s) remains the same even if the information is instantiated in various carriers. For example, a CD with a storage capacity of 700 MB (carrier extent) might hold a record of 1,500 words (record resource extent) represented in two versions, one a Word document with an instantiation extent of 3 KB and the other a PDF file with an instantiation extent of 5 KB.","Corresponds to RiC-A35 (Record Resource Extent attribute)","physicalOrLogicalExtent","RecordResource","rdfs:Literal","1,500 words [en]; 2 films [en]; 2.065.735 characters [en]; 3 minutes and 24 seconds [en]; 6 maps [en]; 6 photographs [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, examples (skos:example). | 2024-03-15 : Fix capitalisation in English label."
"rico:recordResourceSourceOfInformation","Record Resource source of information","source d’information de la ressource archivistique","fuente de información de recurso documental","Information about some source on which the content of a Record Resource is based.","Can be used, for example, for Records having documentary form type Authority Record or Finding Aid. Use only if you don't use the 'recordResourceHasSourceOfInformation' object property.","","","RecordResource","rdfs:Literal","Dardy-Cretin (Michèle), Histoire administrative du ministère de la culture et de la communication (1959-2012). Paris: Collection du Comité d’histoire du ministère de la culture et de la communication, 2012. [fr]","2025-01-16 : Datatype property added in RiC-O 1.1. It replaces, as concerns Record Resources, the former 'source' datatype property, that was available in RiC-0 0.1 and RiC-O 0.2, and was removed in RiC-O 1.0."
"rico:recordResourceStructure","Record Resource structure","structure de la ressource archivistique","estructura de recurso documental","Information about the intellectual arrangement and composition of a Record Resource. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set","","Specialization of RiC-A40 (Structure attribute)","structure","RecordResource","rdfs:Literal","Inside each file, the records are arranged chronologically. [en]; The database has 3 related tables: names, addresses, and passport numbers. [en]; The record has 2 appendixes, comprising a full account of the income from car taxes and real estate taxes. [en]; The series have the files arranged according to the alphabetical order of the places concerned. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:referenceSystem","reference system","système de référence","sistema de referencia","Framework or standard used to represent an information.","","","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationCertainty","relation certainty","degré de certitude de la relation","certeza de la relación","Qualifies the level of certitude of the accuracy of a Relation.","","Corresponds to RiC-RA01 (Certainty of Relation attribute)","","Relation","rdfs:Literal","certain [en]; uncertain [en]; unknown [en]","2023-10-14 : Reintroduced this datatype property, with the definition assigned to it in RiC-CM 1.0, apart from its domain that also includes Event. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-12-27 : Renamed the datatype property (was 'certainty') and reduced its domain to Relation (the dmain was the union of Event and Relation). Consequently updated the labels."
"rico:relationSource","relation source","source de la relation","fuente de la relación","A source of information used for identifying and describing a Relation.","Use only if you don't use the 'isEvidencedBy' object property.","Corresponds to RiC-RA05 (Source of Relation attribute).","","Relation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-12-27 : Renamed the datatype property (was 'source') and reduced its domain to Relation (the domain was the union of Record Resource and Relation). Consequently updated the rdfs:comment, labels and scope note. Added a rico:RiCCMCorrespondingComponent annotation."
"rico:relationState","relation state","statut de la relation","estado de la relación","Used to qualify the state of a Relation (e. g. present, past, ongoing, unknown).","","","","Relation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ruleFollowed","rule followed","règle suivie","regla aplicada","The rule or conditions that govern the existence or lifecycle of a Thing.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use the Rule class for handling rules.","","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:scopeAndContent","scope and content","portée et contenu","alcance y contenido","Summary of the scope (such as time periods, geography) and content (such as subject matter, administrative processes) of a Record Resource. Provides a more complete summary of the informational content of the Record Resource highlighting the information conveyed in the Record Resource, why it was created, received, and/or maintained, and the agents connected to it. It may include description of relations with agents, activities, dates and places, or with other record resources.","Scope and content is a specialization of general description. For a Record Set, may be used to summarize the scope and content of the Record Set itself, or additionally to summarize the scope and content of some or all members of the Record Set. It is not to be confused with the history dataytpe property which focuses on the origination and subsequent changes to a Record Resource.","Corresponds to RiC-A38 (Scope and Content attribute)","generalDescription","RecordResource","rdfs:Literal","Among the witnesses, the Duke of Normandy. [en]; Includes a detailed list of the lands and villages given by the King to the Abbey. [en]; Letter from Vlad the Impaler (Dracula) to the Council of Kronstadt asking them to send military support against the Ottomans, within the framework of their alliance treaty. [en]; Se hace referencia a construcción del Gran Hotel, iniciada en 1899 bajo el nombre de Casa Celestino. Tras su interrupción en 1902, continuó la obra ya con su nombre actual. [es]; The author explains why he does not agree with the decision made and adds that it cannot be applied. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote, rdfs:subpropertyOf, examples (skos:example)."
"rico:sentimentOrEmotionExpressed","sentiment or emotion expressed","sentiment ou émotion exprimés","sentimiento o emoción expresados","Specification of, or information about, the sentiment(s) or emotion(s) expressed by the content of a Record or a Record Part.","Can in particular be used for textual or visual Records or Record Parts.","","scopeAndContent","Record; RecordPart","rdfs:Literal","","2025-04-05 : Introduced in RiC-O 1.1."
"rico:someMembersWithAccumulationDate","some members with accumulation date","des membres ayant pour date d’accumulation","algunos de sus miembros como fecha de acumulación","Date at which some of the present or past members of a Record Set were or will be accumulated.","Datatype property analogue of 'hasOrHadSomeMembersWithAccumulationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","","date","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:someMembersWithCreationDate","some members with creation date","des membres ayant pour date de création","algunos de sus miembros como fecha de creación","Date at which some of the present or past members of a Record Set were or will be created.","Datatype property analogue of 'hasOrHadSomeMembersWithCreationDate', which is provided for usability reasons. May be deprecated and removed later on. Use only if you don’t use Date classes for handling dates.","RiC-R082i ('has or had some members with creation date' relation).","beginningDate","RecordSet","rdfs:Literal","","2024-12-19 : Added in RiC-O 1.1. | 2025-02-19 : Changed definition (added "or will be")."
"rico:structure","structure","structure","estructura","Information about the intellectual arrangement and composition of a Record Resource or the physical arrangement and composition of an Instantiation. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set. For Instantiation, it may comprise information about the composition of the physical elements of the instantiation","Use only if you cannot use the subproperties (particularly if the same free text is being used in your current metadata for describing the record resource and the instantiation structure). For a Record Set, may be used to summarize the structure of the Record Set itself, or additionally to summarize the structure of some or all members of the Record Set. Should not be confused with the classification datatype property, which provides information about the category which the Record Set belongs to within a classification scheme.","Corresponds to RiC-A40 (Structure attribute)","","Instantiation; RecordResource","rdfs:Literal","Inside each file, the records are arranged chronologically (about a record set) [en]; The database has three related tables: names, addresses, and passport numbers (about a record) [en]; The record has two appendices, comprising a full account of the income from car taxes and real estate taxes [en]; The series have the files arranged according to the alphabetical order of the places concerned [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the skos:scopeNote, examples (skos:example)."
"rico:technicalCharacteristics","technical characteristics","caractéristiques techniques","características técnicas","Describes any relevant physical or software feature of any device involved in the creation or management of a Record Resource.","Does not include references to the workflow that the Mechanism is involved in, which is described under the Activity entity. It emphasizes those features that provide a better understanding of the impact of the Mechanism on the records.","Corresponds to RiC-A41 (Technical Characteristics attribute)","","Mechanism","rdfs:Literal","Hubble Space Telescope had until 2002 a flawed mirror that introduced severe spherical aberration for the images. [en]","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-11 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:textualValue","textual value","valeur textuelle","valor textual","A textual expression of an Appellation or Date.","","","","Appellation; Date; Extent","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:title","title","intitulé","título","An identifying name of a Record Resource, Instantiation or Rule.","Use only if you don't use Title class for handling titles.","Specialization of RiC-A28 (Name attribute)","name","Instantiation; RecordResource; Rule","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:type","type","type","tipo","A term used to characterize an entity.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Type subclasses for handling categories.","","","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:unitOfMeasurement","unit of measurement","unité de mesure","unidad de medida","A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity. Can be spacial units (cm, m), weight (g, kg), time (s, h), storage (MB, TB) or more informal units used in the archival context like number of boxes, pages or words.","Use if you do not use the UnitOfMeasurement class for handling units of measurement along with Extent.","","","Extent","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-08-28 : Added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:usedFromDate","used from date","utilisé à partir de","usado desde la fecha","Date at which an Appellation was first used.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","beginningDate","Appellation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Made this property a subproperty of beginningDate."
"rico:usedToDate","used to date","utilisé jusqu’à","usado hasta la fecha","Date until an Appellation was used.","Provided for usability reasons. May be deprecated and removed later on. Use only if you don't use Date classes for handling dates.","Datatype property specialized implementation of RiC-E18 (Date entity)","endDate","Appellation","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Made this property a subproperty of endDate."
"rico:width","width","largeur","anchura","Horizontal dimension of an entity.","","","measure","Thing","rdfs:Literal","","2023-08-25 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
